Category,Product Name,Total Sales
Clothing,T-shirts,219.80
Clothing,Levi's Jeans,1079.82
Home,Dyson Vacuum,1199.98
Accessories,Sunglasses,318.30
Electronics,Headphones,359.60
Accessories,Water bottles,311.08
Accessories,Backpacks,512.73
Accessories,Hats,1049.65
Media,Books,215.82
Toys,Toys,521.71
Food,Apples,351.68
Outdoor,Lawn mower,2975.76
Electronics,Samsung Galaxy,4499.95
Electronics,iPhone 13,3899.97
Fitness,Lululemon Yoga Mat,1349.85
Home decor,Picture frames,83.98
Home decor,Candles,66.31
Electronics,Apple Watch,1599.96
Accessories,Oakley Sunglasses,1799.88
Fitness,Fitbit Charge 5,1349.91
Media,Harry Potter,399.75
Electronics,Phone cases,301.00
Home,Nest Thermostat,1499.94
Electronics,Sony PlayStation 5,1999.96
Accessories,Michael Kors Handbag,2799.92
Kitchen,Ninja Blender,1299.90
Clothing,Under Armour T-Shirt,899.70
Electronics,Amazon Echo Dot,799.80
Clothing,Patagonia Fleece,719.94
Fitness,Schwinn Exercise Bike,1499.97
Kitchen,Cuisinart Food Processor,799.96
Home,iRobot Roomba Vacuum,799.98
Electronics,Sonos Soundbar,799.99
